CNT,CLIENT_ADDVERY_SEGMENT_JUN,CLIENT_ADDVERY_SEGMENT_JUL,CLIENT_ADDVERY_SEGMENT_AUG,CLIENT_ADDVERY_SEGMENT_SEP,CLIENT_ADDVERY_SEGMENT_OCT,CLIENT_ADDVERY_SEGMENT_NOV
36,2-Onboarding,2-Onboarding,2-Onboarding,2-Onboarding,1-Active,2-Onboarding
1310,3-Retention,3-Retention,4-Winback,4-Winback,2-Onboarding,2-Onboarding
6,1-Active,2-Onboarding,2-Onboarding,1-Active,1-Active,3-Retention
2,2-Onboarding,1-Active,1-Active,3-Retention,1-Active,3-Retention
16,2-Onboarding,2-Onboarding,1-Active,1-Active,2-Onboarding,3-Retention
578,3-Retention,3-Retention,3-Retention,3-Retention,3-Retention,2-Onboarding
22,3-Retention,3-Retention,4-Winback,4-Winback,4-Winback,3-Retention
53,2-Onboarding,2-Onboarding,3-Retention,3-Retention,1-Active,3-Retention
2,1-Active,2-Onboarding,2-Onboarding,1-Active,2-Onboarding,1-Active
1,3-Retention,4-Winback,4-Winback,2-Onboarding,2-Onboarding,1-Active
5,3-Retention,3-Retention,3-Retention,4-Winback,3-Retention,1-Active
878,1-Active,3-Retention,3-Retention,3-Retention,1-Active,1-Active
6,2-Onboarding,2-Onboarding,1-Active,1-Active,3-Retention,1-Active
747,4-Winback,4-Winback,4-Winback,3-Retention,3-Retention,3-Retention
39,4-Winback,3-Retention,1-Active,1-Active,1-Active,1-Active
19,2-Onboarding,1-Active,3-Retention,3-Retention,3-Retention,3-Retention
1,3-Retention,2-Onboarding,2-Onboarding,1-Active,1-Active,1-Active
1,3-Retention,2-Onboarding,1-Active,2-Onboarding,2-Onboarding,2-Onboarding
135,4-Winback,2-Onboarding,2-Onboarding,2-Onboarding,1-Active,1-Active
3,3-Retention,4-Winback,2-Onboarding,1-Active,1-Active,1-Active
78,2-Onboarding,2-Onboarding,2-Onboarding,3-Retention,1-Active,3-Retention
223,1-Active,1-Active,1-Active,1-Active,2-Onboarding,2-Onboarding
8,1-Active,1-Active,2-Onboarding,1-Active,1-Active,3-Retention
3,2-Onboarding,2-Onboarding,1-Active,2-Onboarding,3-Retention,1-Active
36,2-Onboarding,2-Onboarding,3-Retention,1-Active,3-Retention,3-Retention
3138,4-Winback,1-Active,1-Active,1-Active,1-Active,1-Active
219,3-Retention,3-Retention,4-Winback,1-Active,1-Active,1-Active
1,2-Onboarding,4-Winback,4-Winback,3-Retention,3-Retention,3-Retention
251,3-Retention,3-Retention,3-Retention,3-Retention,4-Winback,1-Active
242,3-Retention,3-Retention,3-Retention,4-Winback,1-Active,1-Active
16,1-Active,2-Onboarding,1-Active,1-Active,1-Active,3-Retention
22817,1-Active,3-Retention,3-Retention,3-Retention,3-Retention,3-Retention
3,3-Retention,3-Retention,3-Retention,2-Onboarding,1-Active,1-Active
2,4-Winback,4-Winback,3-Retention,1-Active,3-Retention,3-Retention
1138,3-Retention,4-Winback,4-Winback,4-Winback,2-Onboarding,2-Onboarding
39,2-Onboarding,1-Active,1-Active,1-Active,3-Retention,1-Active
39,1-Active,3-Retention,1-Active,1-Active,3-Retention,1-Active
13,1-Active,1-Active,3-Retention,3-Retention,2-Onboarding,3-Retention
330,4-Winback,4-Winback,4-Winback,1-Active,1-Active,2-Onboarding
788,3-Retention,2-Onboarding,2-Onboarding,2-Onboarding,2-Onboarding,2-Onboarding
510,3-Retention,1-Active,1-Active,3-Retention,3-Retention,3-Retention
131,2-Onboarding,2-Onboarding,2-Onboarding,1-Active,1-Active,3-Retention
23,2-Onboarding,3-Retention,3-Retention,1-Active,1-Active,3-Retention
5,1-Active,2-Onboarding,3-Retention,3-Retention,1-Active,1-Active
1,3-Retention,4-Winback,4-Winback,4-Winback,3-Retention,1-Active
21,2-Onboarding,2-Onboarding,1-Active,1-Active,1-Active,2-Onboarding
19,4-Winback,2-Onboarding,2-Onboarding,1-Active,1-Active,2-Onboarding
1,1-Active,2-Onboarding,1-Active,3-Retention,3-Retention,1-Active
83,4-Winback,1-Active,1-Active,2-Onboarding,2-Onboarding,2-Onboarding
50,1-Active,2-Onboarding,1-Active,1-Active,1-Active,1-Active
300,1-Active,1-Active,2-Onboarding,2-Onboarding,2-Onboarding,2-Onboarding
12,4-Winback,2-Onboarding,2-Onboarding,2-Onboarding,1-Active,2-Onboarding
4,3-Retention,3-Retention,1-Active,1-Active,2-Onboarding,2-Onboarding
2,3-Retention,4-Winback,2-Onboarding,2-Onboarding,1-Active,1-Active
33491,4-Winback,4-Winback,4-Winback,4-Winback,2-Onboarding,2-Onboarding
1358,3-Retention,4-Winback,2-Onboarding,2-Onboarding,2-Onboarding,2-Onboarding
45,3-Retention,3-Retention,3-Retention,4-Winback,4-Winback,3-Retention
4,3-Retention,4-Winback,1-Active,2-Onboarding,2-Onboarding,2-Onboarding
39849,4-Winback,4-Winback,2-Onboarding,2-Onboarding,2-Onboarding,2-Onboarding
14,2-Onboarding,2-Onboarding,1-Active,1-Active,2-Onboarding,2-Onboarding
1,1-Active,2-Onboarding,1-Active,1-Active,3-Retention,1-Active
7,4-Winback,4-Winback,4-Winback,1-Active,2-Onboarding,1-Active
9,1-Active,1-Active,1-Active,3-Retention,2-Onboarding,3-Retention
2,4-Winback,3-Retention,3-Retention,3-Retention,1-Active,1-Active
32,1-Active,3-Retention,2-Onboarding,2-Onboarding,3-Retention,3-Retention
4,3-Retention,4-Winback,4-Winback,4-Winback,2-Onboarding,1-Active
4039440,3-Retention,3-Retention,3-Retention,3-Retention,3-Retention,3-Retention
